artistId,artId,artistName,artTitle,artImage,artPrice,artGenre,artTags,artYear,artRate,purchased
4,1,Ivan Rutkovych,ravenna-cappella-arcivescovile-166,https://uploads2.wikiart.org/00211/images/byzantine-mosaics/ravenna-cappella-arcivescovile-166.jpg!Large.jpg,35484,religious painting,"Holyplaces, Byzantinearchitecture, Arch, Dome",2019,10,1
24,2,Hans Holbein the Elder,ravenna-cappella-arcivescovile-167,https://uploads2.wikiart.org/00211/images/byzantine-mosaics/ravenna-cappella-arcivescovile-167.jpg!Large.jpg,61824,religious painting,"Holyplaces, Byzantinearchitecture, Arch",2018,5,0
32,3,Giovanni da Milano,ravenna-cappella-arcivescovile-168,https://uploads2.wikiart.org/00211/images/byzantine-mosaics/ravenna-cappella-arcivescovile-168.jpg!Large.jpg,10628,religious painting,"Prophet, History",2021,9,1
45,4,Filippo Lippi,ravenna-cappella-arcivescovile-169,https://uploads2.wikiart.org/00211/images/byzantine-mosaics/ravenna-cappella-arcivescovile-169.jpg!Large.jpg,28086,religious painting,"Holyplaces, Prophet",2020,7,1
37,5,Lorenzo Ghiberti,ravenna-cappella-arcivescovile-171,https://uploads2.wikiart.org/00211/images/byzantine-mosaics/ravenna-cappella-arcivescovile-171.jpg!Large.jpg,52975,religious painting,"Holyplaces, Prophet",2021,6,0
17,6,Gentile da Fabriano,christ-as-a-warrior-6th-century-mosaic,https://uploads6.wikiart.org/00211/images/byzantine-mosaics/christ-as-a-warrior-6th-century-mosaic.jpg!Large.jpg,23732,religious painting,"Holyplaces, Middleages, History, Prophet",2020,4,1
24,7,Hans Holbein the Elder,cappella-arcivescovile-ravenna-8!Large,https://uploads0.wikiart.org/00211/images/byzantine-mosaics/cappella-arcivescovile-ravenna-8.JPG!Large.JPG,96319,ornament,Brown,2018,4,0
22,8,Stefan Lochner,ravenna-cappella-arcivescovile-165,https://uploads2.wikiart.org/00211/images/byzantine-mosaics/ravenna-cappella-arcivescovile-165.jpg!Large.jpg,57816,ornament,"Holyplaces, Byzantinearchitecture",2020,7,0
8,9,Hildegard of Bingen,soffitto-del-mausoleo-di-galla-placidia,https://uploads7.wikiart.org/00211/images/byzantine-mosaics/soffitto-del-mausoleo-di-galla-placidia.jpg!Large.jpg,14323,ornament,"Holyplaces, Byzantinearchitecture, Ceiling, Dome",2018,3,1
44,10,Leon Battista Alberti,mosaic-of-the-good-shepherd,https://uploads4.wikiart.org/00211/images/byzantine-mosaics/mosaic-of-the-good-shepherd.jpg!Large.jpg,18382,religious painting,Holyplaces,2018,6,1
20,11,Álvaro Pires de Évora,lunetta-dei-cervi,https://uploads3.wikiart.org/00211/images/byzantine-mosaics/lunetta-dei-cervi.jpg!Large.jpg,69871,animal painting,Holyplaces,2019,5,0
4,12,Ivan Rutkovych,martyrdom-of-st-lawrence,https://uploads1.wikiart.org/00211/images/byzantine-mosaics/martyrdom-of-st-lawrence.jpg!Large.jpg,34130,religious painting,"Holyplaces, Textile",2018,8,1
38,13,Donatello,martyrdom-of-st-lawrence-1,https://uploads3.wikiart.org/00211/images/byzantine-mosaics/martyrdom-of-st-lawrence-1.jpg!Large.jpg,61569,religious painting,"Textile, Prophet",2021,7,0
19,14,Limbourg brothers,martyrdom-of-st-lawrence-detail!Large,https://uploads8.wikiart.org/00211/images/byzantine-mosaics/martyrdom-of-st-lawrence-detail.JPG!Large.JPG,55479,religious painting,"Holyplaces, Text",2019,1,0
25,15,Viking art,particolare,https://uploads6.wikiart.org/00211/images/byzantine-mosaics/particolare.jpg!Large.jpg,58828,ornament,"Textile, Carpet",2021,6,0
32,16,Giovanni da Milano,detalle-del-mosaico-de-los-ap-stoles-425,https://uploads8.wikiart.org/00211/images/byzantine-mosaics/detalle-del-mosaico-de-los-ap-stoles-425.jpg!Large.jpg,34877,animal painting,Bird,2019,10,1
20,17,Álvaro Pires de Évora,lunetta-del-buon-pastore,https://uploads1.wikiart.org/00211/images/byzantine-mosaics/lunetta-del-buon-pastore.jpg!Large.jpg,76525,religious painting,"Holyplaces, Textile, History, Middleages",2021,9,0
14,18,Simone Martini,apostols,https://uploads3.wikiart.org/00211/images/byzantine-mosaics/apostols.jpg!Large.jpg,97520,religious painting,"Holyplaces, Religiousitem, Prophet, Highpriest",2019,8,0
4,19,Ivan Rutkovych,ravenna-mausoleo-di-galla-placidia-34,https://uploads5.wikiart.org/00211/images/byzantine-mosaics/ravenna-mausoleo-di-galla-placidia-34.jpg!Large.jpg,72575,ornament,Pattern,2019,9,0
21,20,Pisanello,gallaplacidia-mosaico-motivos-geometricos-arco,https://uploads5.wikiart.org/00211/images/byzantine-mosaics/gallaplacidia-mosaico-motivos-geometricos-arco.jpg!Large.jpg,84992,ornament,"Brown, Textile, Pattern, Rug",2021,5,0
45,21,Filippo Lippi,usoleo-di-galla-placidia-ravenna-14088243617,https://uploads5.wikiart.org/00211/images/byzantine-mosaics/mausoleo-di-galla-placidia-ravenna-14088243617.jpg!Large.jpg,12301,ornament,"Pattern, Dome",2018,7,1
30,22,Giotto,mausoleo-di-galla-placidia-ravenna-14088827369,https://uploads5.wikiart.org/00211/images/byzantine-mosaics/mausoleo-di-galla-placidia-ravenna-14088827369.jpg!Large.jpg,10718,ornament,"Pattern, Quilting, Textile, Needlework, Turquoise, Wovenfabric, Quilt",2021,8,1
40,23,Fra Angelico,gallaplacidia-mosaico-ciervos,https://uploads6.wikiart.org/00211/images/byzantine-mosaics/gallaplacidia-mosaico-ciervos.jpg!Large.jpg,65533,ornament,"Dome, Byzantinearchitecture, Holyplaces, Arch, Ceiling, Baptistery, Building",2019,8,0
